sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
4.4,2.8,6.9,0.1,2
4.4,4.4,6.9,0.1,1
4.4,4.0,3.4,0.2,0
4.4,4.3,6.9,0.4,1
4.4,4.4,6.9,0.1,2
4.4,3.8,5.6,1.4,2
4.4,4.4,6.9,1.3,2
4.4,3.8,6.9,0.6,2
4.4,3.2,6.9,0.4,1
4.4,3.8,6.9,0.1,0
4.4,3.6,3.6,0.1,2
4.4,4.1,6.9,1.2,1
4.4,4.2,6.9,0.1,1
4.4,4.4,6.9,1.3,2
4.4,2.4,6.8,0.1,0
4.4,3.3,6.9,0.1,1
4.4,4.3,4.0,0.1,0
4.4,3.6,6.9,1.0,1
4.4,2.2,6.9,2.0,2
4.4,3.2,3.7,0.1,2
4.4,4.3,3.9,0.7,0
4.4,4.4,6.9,0.1,1
4.5,3.8,6.9,0.6,0
4.4,4.4,6.9,0.1,2
4.4,4.1,6.9,0.1,0
4.4,4.1,6.9,0.1,2
4.4,3.8,6.9,1.0,2
4.4,3.5,6.9,0.1,2
4.4,3.9,6.9,1.2,2
4.4,2.5,6.9,0.1,0
4.4,3.4,6.9,0.5,0
4.4,3.6,6.9,1.4,0
4.4,3.5,6.9,0.7,0
4.4,2.6,6.9,0.1,2
4.4,3.6,6.9,0.1,0
4.9,4.3,6.9,0.1,1
4.4,3.5,6.9,0.3,0
4.4,4.1,6.9,0.1,2
4.4,4.0,6.9,0.1,2
4.4,3.4,3.9,0.1,1
4.4,4.0,6.9,0.2,0
4.4,2.7,6.9,0.1,0
4.4,2.9,6.9,1.5,1
4.4,3.2,6.9,1.0,0
4.4,2.8,6.9,0.4,1
4.4,4.4,3.7,0.1,0
4.4,3.2,6.2,1.1,2
4.4,4.4,6.9,0.1,1
4.4,4.3,6.9,1.3,0
4.4,3.5,3.3,0.2,0
